title,year
Anarbala,1961
Zabak,1961
Aplam Chaplam,1961
Gharana,1961
Ramu Dada,1961
Tel Malish Boot Polish,1961
Junglee,1961
Kabuliwala,1961
Bhabhi Ki Chudiyan,1961
Hum Dono,1961
Sampoorna Ramayana,1961
Boy Friend,1961
Shola Aur Shabnam,1961
Roop Ki Rani Choron Ka Raja,1961
Piya Milan Ki Aas,1961
Chhaya,1961
Jab Pyar Kisise Hota Hai,1961
Razia Sultana,1961
Sanjog,1961
Nazrana,1961
Jai Chitod,1961
Oomar Qaid,1961
Pyar Ki Pyas,1961
Chhote Nawab,1961
Kanch Ki Gudiya,1961
Jhumroo,1961
Pyaar Ka Saagar,1961
Mem-Didi,1961
Sasural,1961
Saranga,1961
Opera House,1961
Maya,1961
Suhag Sindoor,1961
Jai Bhawani,1961
Zindagi Aur Khwab,1961
Pyar Ki Dastan,1961
Bada Aadmi,1961
Char Diwari,1961
Reshmi Rumal,1961
Ram Lila,1961
Krorepati,1961
Hamari Yaad Aayegi,1961
Chatrapati Shivaji Maharaj,1961
Wanted,1961
Black Shadow,1961
Warrant,1961
Zamana Badal Gaya,1961
Shola Jo Bhadke,1961
Passport,1961
Flat No. 9,1961
Main Aur Mera Bhai,1961
Stree,1961
Batwara,1961
Sapne Suhane,1961
Matlabi Duniya,1961
Hum Matwale Naujawan,1961
Senapati,1961
Salaam Mem Saheb,1961
Teen Ustad,1961
Dark Street,1961
Khiladi,1961
Amrit Manthan,1961
Kismet Palat Ke Dekh,1961
Do Bhai,1961
Jadoo Nagri,1961
Apsara,1961
Sapera,1961
Hurricane Express,1961
Tanhai,1961
Mera Suhaag,1961
Savitri,1961
Murad,1961
Saugandh,1961
Saaya,1961
Hariyali Aur Rasta,1962
Maa Beta,1962
Private Detective,1962
Sakhi Robin,1962
Hong Kong,1962
Kala Chashma,1962
Tarzan the Storm,1962
Sachche Moti,1962
Pyar Ki Jeet,1962
Mohabbat Zindabad,1962
Madam Zapatta,1962
Pick Pocket,1962
Raj Nandini,1962
Gangu,1962
Zindagi Aur Hum,1962
Tilasmi Dunya,1962
Rashtraveer Shivaji,1962
Deccan Queen,1962
Madam Zorro,1962
Fakiron Ki Basti,1962
Return of Superman,1962
Jadoo Mahal,1962
Nadira,1962
Balidan,1962
Mall Road,1962
Jai Ho Mohabbat Ki,1962
Durga Pooja,1962
Hamen Khelne Do,1962
Manchali,1962
Banke Sanwaria,1962
Rang Raliyan,1962
Baje Ghungroo,1962
Kala Samundar,1962
Shiv Parvati,1962
Son of India,1962
Pathan,1962
Professor,1962
Banarasi Thug,1962
Issi Ka Naam Dunia Hai,1962
China Town,1962
Half Ticket,1962
Main Chup Rahungi,1962
Reporter Raju,1962
Sahib Bibi Aur Ghulam,1962
Asli-Naqli,1962
Bees Saal Baad,1962
Aarti,1962
Dil Tera Diwana,1962
Man-Mauji,1962
Anpadh,1962
King Kong,1962
Ek Musafir Ek Hasina,1962
Sautela Bhai,1962
Aalha Udal,1962
Tower House,1962
Vallah Kya Baat Hai,1962
Apna Banake Dekho,1962
Soorat Aur Seerat,1962
Naughty Boy,1962
Prem Patra,1962
Baat Ek Raat Ki,1962
Wedding Celebration,1962
Shree Ganesh,1962
Girls' Hostel,1962
Mehndi Lagi Mere Haath,1962
Sangeet Samrat Tansen,1962
Main Shadi Karne Chala,1962
Rocket Girl,1962
Nakli Nawab,1962
Aashiq,1962
Rungoli,1962
Bombay Ka Chor,1962
Jhoola,1962
Ankh Micholi,1962
Dr. Vidya,1962
Rooplekha,1962
Neeli Aankhen,1962
Burmah Road,1962
Private Secretary,1962
Naag Devata,1962
Bapu Ne Kaha Tha,1962
Bijli Chamke Jamna Paar,1962
Jadugar Daku,1962
Umeed,1962
Rakhi,1962
Bezuban,1962
Gyara Hazar Ladkian,1962
Raaz Ki Baat,1962
Sher Khan,1962
Dilli Ka Dada,1962
Maya Jaal,1962
Baghdad Ki Raaten,1962
Hawa Mahal,1962
Raju Aur Gangaram,1962
Shree Rama Pattabhishekam,1962
Kailashpati,1962
Bandini,1963
Tere Ghar Ke Samne,1963
Gumrah,1963
Ustadon Ke Ustad,1963
Flying Horse,1963
Patal Nagri,1963
Ghar Basake Dekho,1963
Naag Jyoti,1963
King of Carnival,1963
Magic Box,1963
Royal Mail,1963
Rocket Tarzan,1963
Mulzim,1963
Tarzan and the Gorilla,1963
Ek Tha Alibaba,1963
KUBERA THEEVU,1963
Jungle Boy,1963
Kala Ghoda,1963
Jai Jagannath,1963
Mr. Toofan,1963
Commercial Pilot Officer,1963
Kala Jadu,1963
Naag Mohini,1963
Junglee Raja,1963
Dil Ek Mandir,1963
Aaj Aur Kal,1963
Tarzan and the Magician,1963
Bharosa,1963
Bin Badal Barsaat,1963
Faulad,1963
Awara Abdulla,1963
Parasmani,1963
Cobra Girl,1963
Ek Raaz,1963
Bluff Master,1963
Sehra,1963
Yeh Rastey Hain Pyar Ke,1963
Meri Surat Teri Ankhen,1963
Shikari,1963
Nartakee,1963
Grahasti,1963
Phir Wohi Dil Laya Hoon,1963
Hamrahi,1963
Mujhe Jeene Do,1963
Kan Kan Men Bhagwan,1963
Godaan,1963
Kinare Kinare,1963
Gehra Daag,1963
Rustom-E-Baghdad,1963
Shaheed Bhagat Singh,1963
Dil Hi To Hai,1963
Bhootnath,1963
Phool Bane Angaare,1963
Bachpan,1963
Akeli Mat Jaiyo,1963
Harishchandra Taramati,1963
Pyar Ka Bandhan,1963
Jab Se Tumhe Dekha Hai,1963
Pyaar Kiya To Darna Kya,1963
Mere Arman Mere Sapne,1963
Band Master,1963
Baghi Shehzada,1963
Sushila,1963
Kabli Khan,1963
Mummy Daddy,1963
Ek Dil Sau Afsane,1963
Kaun Apna Kaun Paraya,1963
Holiday in Bombay,1963
Kahin Pyar Na Ho Jaye,1963
Begaana,1963
Sunheri Nagin,1963
Dekha Pyaar Tumhara,1963
Captain Sheroo,1963
Yeh Dil Kisko Doon,1963
Chandrashekhar Azad,1963
Maya Mahal,1963
Akela,1963
Gul-e-Bakavali,1963
Raja,1963
Chatur Balak,1963
Teen Ghaaranay,1963
Zingaro,1963
Dev Kanya,1963
Raj Mahal,1963
Been Ka Jadoo,1963
Pareeksha,1963
Zaraak Khan,1963
Deepak,1963
Ek Raj,1963
Sons of Hercules,1964
Awara Badal,1964
Khooni Khazana,1964
Chakravarty Vikramaditya,1964
Hukum ka ekka,1964
Daal Me Kala,1964
Birju Ustad,1964
Captain Azad,1964
Khufia Mahal,1964
Tarzan and Delilah,1964
Marvel Man,1964
Tarzan and Captain Kishore,1964
Pahadi Nagin,1964
Haqdar,1964
Jhanada Ooncha Rahe Hamara,1964
Vidyapati,1964
Arab Ke Lal,1964
Teen Dost,1964
Khush Naseeb,1964
Idd Ka Chand,1964
Krishnaavtar,1964
Challenge,1964
Pahadi Jawan,1964
Bhakta Dhruv Kumar,1964
His Highness,1964
Daanveer Karna,1964
Woh Kaun Thi?,1964
Char Dervesh,1964
Suhagan,1964
Bahurani,1964
Sangam,1964
Majboor,1964
Shehar Aur Sapna,1964
Mr. X in Bombay,1964
Qawwali Ki Raat,1964
Maain Bhi Ladki Hun,1964
Rajkumar,1964
Dosti,1964
Cha Cha Cha,1964
Kashmir Ki Kali,1964
Haqeeqat,1964
Beti Bete,1964
Aaya Toofan,1964
The Fog,1964
Sati Savitri,1964
Chitralekha,1964
Door Gagan Ki Chhaon Men,1964
Jahan Ara,1964
Leader,1964
Darasingh: Ironman,1964
Samson,1964
Kaise Kahoon,1964
Ayee Milan Ki Bela,1964
Ganga Ki Lahren,1964
Sanjh Aur Savera,1964
Ziddi,1964
Ishaara,1964
Yaadein,1964
Pooja Ke Phool,1964
Door Ki Awaz,1964
Shehnai,1964
Zindagi,1964
Aandhi Aur Toofan,1964
Sharabi,1964
Sant Gyaneshwar,1964
April Fool,1964
Dulha Dulhan,1964
Hercules,1964
Aap Ki Parchhaiyan,1964
Ji Chahta Hai,1964
Dooj Ka Chand,1964
Punar Milan,1964
Aao Pyar Karen,1964
Mera Qasoor Kya Hai,1964
Apne Huye Paraye,1964
Fariyad,1964
Veer Bhimsen,1964
Hamara Ghar,1964
Chandi Ki Deewar,1964
Baghi,1964
Tarzan and the Mermaid,1964
Mahasati Behula,1964
Mahasati Anusuya,1964
Rustom-E-Rome,1964
Phoolon Ki Sej,1964
Magic Carpet,1964
Tere Dwar Khada Bhagwan,1964
Picnic,1964
Hameer Hath,1964
Sarfarosh,1964
Badshah,1964
Main Suhagan Hoon,1964
Ek Din Ka Badshah,1964
Roop Sundari,1964
Jantar Mantar,1964
Rahul,1964
Aao Milkar Gaen,1964
Kutte Ki Kahani,1964
Jekara Charanva Mein Lagle Paranva,1964
Janwar,1965
Sikandar E Azam,1965
Shaheed,1965
Sindbad Alibaba and Aladdin,1965
Teen Sardar,1965
Himalay Ki Godmein,1965
Adhi Raat Ke Baad,1965
Dak Ghar,1965
Zindagi Aur Maut,1965
Bhool Na Jaana,1965
Mujrim Kaun Khooni Kaun,1965
Chor Darwaza,1965
Flying Circus,1965
Shahi Lutera,1965
Sant Tukaram,1965
Bharat Milap,1965
Shahi Raqasa,1965
Fauladi Mukka,1965
Chhupa Rustam,1965
Char Chakram,1965
Panch Ratan,1965
Baghi Haseena,1965
Accident,1965
Tarzan and the Circus,1965
Pyaasi Dharti,1965
Mehbooba,1965
Anmol Moti,1965
Main Bhi Maa Hoon,1965
Black Arrow,1965
Kite Fight,1965
Sab Ka Ustad,1965
Arzoo,1965
Geet Gaaya Pattharon Ne,1965
Guide,1965
Gumnaam,1965
Johar-Mehmood in Goa,1965
Waqt,1965
Bheegi Raat,1965
Chand Aur Suraj,1965
Oonche Log,1965
Khandan,1965
Tu Hi Meri Zindagi,1965
Jab Jab Phool Khile,1965
Tarzan and King Kong,1965
Mere Sanam,1965
Teen Devian,1965
Teesra Kaun,1965
Kaajal,1965
Mahabharat,1965
Bhoot Bungla,1965
Lootera,1965
Purnima,1965
Mohabbat Isko Kahete Hain,1965
Saat Samundar Paar,1965
Nai Umar Ki Nai Fasal,1965
Faraar,1965
Saheli,1965
Sangram,1965
Akashdeep,1965
Ek Sapera Ek Lutera,1965
Hum Sab Ustad Hain,1965
Chhoti Chhoti Baatein,1965
Noor Mahal,1965
Neela Akash,1965
Gopal - Krishna,1965
Nishan,1965
Jahan Sati Wahan Bhagwan,1965
Tarzan Comes to Delhi,1965
Boxer,1965
Main Hoon Aladdin,1965
Bahu Beti,1965
Rishte Naahte,1965
Ek Saal Pehle,1965
Bedaag,1965
Khakaan,1965
Namaste Ji,1965
Poonam Ki Raat,1965
Hum Diwane,1965
Shreeman Funtoosh,1965
Adventures of Robin Hood and Bandits,1965
Raaka,1965
Bombay Race Course,1965
Aasmaan Mahal,1965
Naya Kanoon,1965
Faisla,1965
Bekhabar,1965
Rustom-E-Hind,1965
Main Hoon Jadugar,1965
Janam Janam Ke Saathi,1965
Shankar Sita Ansuya,1965
Sher Dil,1965
Birthday,1965
Maharaja Vikram,1965
Sati Naari,1965
Shri Ram Bharat Milap,1965
Mamta,1965
Bhakta Prahlad,1965
Bharat Katha,1965
Witchcraft,1965
Jadui Angoothi,1965
Mera Saaya,1966
Gaban,1966
Alibaba and 40 Thieves,1966
Gogola,1966
Shankar Khan,1966
Johar in Kashmir,1966
Sarhadi Lutera,1966
Afsana,1966
Spy in Goa,1966
Professor X,1966
Dilawar,1966
Vidyarthi,1966
Tarzan and the Magical Lamp,1966
Duniya Hai Dilwalon Ki,1966
Jadoo,1966
Do Matwale,1966
Tarzan and Hercules,1966
Khoon Ka Khoon,1966
Kazaki,1966
Sher E Afghan,1966
Ajnabi,1966
Sunehre Qadam,1966
"Tarzan, My Beloved",1966
Chanchal Ka Sapna,1966
Nagan,1966
Veer Bajrang,1966
Anupama,1966
Mamta,1966
Suraj,1966
Do Dil,1966
Street Singer,1966
Pyar Kiye Jaa,1970
Phool Aur Patthar,1966
Amrapali,1966
Tasveer,1966
Teesri Manzil,1966
Aaye Din Bahar Ke,1966
Love in Tokyo,1966
Dil Diya Dard Liya,1966
Ladka Ladki,1966
Baharen Phir Bhi Aayengi,1966
Sawan Ki Ghata,1966
Do Badan,1966
Insaaf,1966
Devar,1966
Mohabbat Zindagi Hai,1966
Aakhri Khat,1966
Picnic,1966
Badal,1966
Lal Bangla,1966
Neend Hamari Khwab Tumhare,1966
Kunwari,1966
Preet Na Jane Reet,1966
Biwi Aur Makan,1966
Budtameez,1966
Aasra,1966
Daadi Maa,1966
Chhota Bhai,1966
Dillagi,1966
Do Dilon Ki Dastaan,1966
Ladki Sahyadri Ki,1966
Main Wohi Hoon,1966
Thakur Jarnail Singh,1966
Dus Lakh,1966
Pyar Mohabbat,1966
Biradari,1966
Yeh Zindagi Kitni Haseen Hai,1966
Mere Lal,1966
Akalmand,1966
Pati Patni,1966
Zimbo Finds a Son,1966
Husn Aur Ishq,1966
Chale Hain Sasural,1966
Labela,1966
Sau Saal Baad,1966
Subhash Chandra,1966
Sunhera Jaal,1966
Pinjre Ke Panchhi,1966
Daku Mangal Singh,1966
Toofan Men Pyar Kahan,1966
Sagaai,1966
Rustom Kaun,1966
Hum Kahan Ja Rahe Hain,1966
Jawan Mard,1966
Saaz Aur Awaaz,1966
Naag Mandir,1966
Love and Murder,1966
Laadla,1966
Dada,1966
Uski Kahani,1966
Sannata,1966
Bandar Mera Sathi,1966
Lab Kush,1966
Smuggler,1966
Shera Daku,1966
Nagin Aur Sapera,1966
Bahadur Daku,1966
Husn Ka Ghulam,1966
Dil Ne Pukara,1967
Majhli Didi,1967
Nasihat,1967
Patthar Ke Sanam,1967
Chand Par Chadayee,1967
Wahan Ke Log,1967
Raat Andheri Thi,1967
Mohabbat Aur Jung,1967
Rajoo,1967
Shamsheer,1967
Badrinath Yatra,1967
Pyar Ki Baazi,1967
Ram Rajya,1967
Amar Jyoti,1967
Sheba and Hercules,1967
Poonam Ka Chand,1967
Mera Bhai Mera Dushman,1967
Albela Mastana,1967
Awara Ladki,1967
Jungle Ki Hoor,1967
Wohi Ladki,1967
Naujavan,1967
Sangdil,1967
Maikhana,1967
Milan,1967
And Unto the Void,1967
Ram Aur Shyam,1967
Raaz,1967
Aamne - Saamne,1967
Noorjehan,1967
Rustom Sohrab,1967
Aurat,1967
Hamraaz,1967
Jewel Thief,1967
Shagird,1967
Woh Koi Aur Hoga,1967
Taqdeer,1967
An Evening in Paris,1967
Upkar,1967
Anita,1967
Night in London,1967
Farz,1967
Gunahon Ka Devta,1967
Baharon Ke Sapne,1967
Jaal,1967
Mehrban,1967
Naunihal,1967
Chhaila Babu,1967
Raat Aur Din,1967
C.I.D. 909,1967
Dulhan Ek Raat Ki,1967
Around the World,1967
Diwana,1967
Palki,1967
Hare Kanch Ki Chooriyan,1967
Aag,1967
Bahu Begum,1967
Chandan Ka Palna,1967
Latt Saheb,1967
Jab Yaad Kisi Ki Aati Hai,1967
Hatey Bazarey,1967
Nai Roshni,1967
Chhoti Si Mulaqat,1967
Duniya Nachegi,1967
Boond Jo Ban Gayee Moti,1967
Mera Munna,1967
Milan Ki Raat,1967
Johar in Bombay,1967
Hum Do Daaku,1967
Hamare Gam Se Mat Khelo,1967
Baghdad Ki Raatein,1967
Shamsher,1967
Dilruba,1967
Ghar Ka Chirag,1967
Lav-Kush,1967
Lamboo in Hong Kong,1967
Gautama the Buddha,1967
Do Dushman,1967
Gunehgar,1967
Sardar,1967
Nawab Sirajuddaullah,1967
Naya Raasta,1967
6.40 PM,1967
Maya Sundari,1967
Bhakta Prahlada (I),1967
Do Kaliyaan,1968
Dil Aur Mohabbat,1968
Haseena Maan Jayegi,1968
Ek Raat,1968
Shrimanji,1968
Lady Killer,1968
Ek Surat Do Dil,1968
Mera Naam Johar,1968
Jung Aur Aman,1968
Ram Aur Rahim,1968
Pyar Bana Afsana,1968
Azad Champion,1968
Lutera Aur Jadugar,1968
Tatar Ki Hasina,1968
Aaj Watan Ne Humen Pukara,1968
Rani Chandravati,1968
Raste Aur Manzil,1968
Phir Bahar Ayi,1968
Ek Gunah Aur Sahi,1968
Tarzan in Fairyland,1968
Jawani Ki Raat,1968
Ramdoot Hanuman,1968
Hum Sab Ek Hain,1968
Baghawat,1968
Veer Balak,1968
Parion Ki Shahzadi,1968
Geet Aur Aansoo,1968
Mitti Ka Dev,1968
London Express,1968
Maa,1968
Diler Shahzada,1968
Pehle Paisa Phir Bhagwan,1968
Aquidat Ke Phool,1968
Gudia,1968
Chhota Parivar,1968
Kaafir,1968
Jaan Bachi Lakhon Paaye,1968
Yeh Qadam Nahin Rukenge,1968
Peele Parbat Kaale Chor,1968
Chalo Sipahi Chalo,1968
Abdul Qayyoom Khan,1968
Ziarat,1968
Aaja Sanam,1968
Izzat,1968
Saathi,1968
Brahmachari,1968
Baazi,1968
Baharon Ki Manzil,1968
Bambai Raat Ki Bahon Mein,1968
Teen Bahuraniyan,1968
Sunghursh,1968
Neel Kamal,1968
Nadir Shah,1968
Aabroo,1968
Padosan,1968
Duniya,1968
Ankhen,1968
Mere Hamdam Mere Dost,1968
Aashirwad,1968
Kanyadaan,1968
Mere Huzoor,1968
Raja Aur Runk,1968
Suhaag Raat,1968
Vaasna,1968
Aadmi,1968
Shikar,1968
Anokhi Raat,1968
Gauri,1968
Saraswatichandra,1968
Fareb,1968
Sadhu Aur Shaitaan,1968
The Skies Have Bowed,1968
Parivar,1968
Humsaya,1968
Haye Mera Dil,1968
Teri Talash Mein,1968
Payal Ki Jhankar,1968
Do Dooni Char,1968
Kahin Din Kahin Raat,1968
Abhilasha,1968
Khilari,1968
Spy in Rome,1968
CID Agent 302,1968
Aulad,1968
Golden Eyes Secret Agent 077,1968
Balram Shri Krishna,1968
Apna Ghar Apni Kahani,1968
Jahan Mile Dharti Akash,1968
Ek Kali Muskai,1968
Anjaam,1968
Kahin Aur Chal,1968
Jawab Ayega,1968
Watan Se Door,1968
Ek Phool Ek Bhool,1968
Juari,1968
Roop Rupaiya,1968
Krishna Bhakt Sudaama,1968
Baap Re Baap,1968
Lahu Pukarega,1968
Farishta,1968
Har Har Gange,1968
Aanchal Ke Phool,1968
Professor and Jadugar,1968
Mata Mahakali,1968
Sankat Mein Swasthya Aur Safai,1968
Nannha Farishta,1969
Yakeen,1969
Pyar Ka Sapna,1969
Beti,1969
The Killers,1969
Nai Zindagi,1969
Beqasoor,1969
Bandish,1969
Danka,1969
Bank Robbery,1969
Chalbaaz,1969
Sapna,1969
Ek Masoom,1969
Gunda,1969
Mr. Murder,1969
Rajkumari,1979
Pyar,1969
Badmash,1969
Waatan,1969
Beti Tumhare Jaisi,1969
Rambhakta Hunuman,1969
Sakhi Lutera,1969
Jiyo Aur Jeene Do,1969
The Awakener,1969
S.O.S Jasoos 007,1969
Hanuman Chalisa,1969
Jungle Ki Hasina,1969
Pyasi Sham,1969
Man Ka Meet,1969
'Sambandh',1969
Doli,1969
Satyakam,1969
Khamoshi,1969
Ek Phool Do Mali,1969
Bhuvan Shome,1969
Jahan Pyar Miley,1969
Soldier as Thakur Daler Singh,1969
Sajan,1969
Ustad 420,1969
Tumse Achha Kaun Hai,1969
Anjaana,1969
Aadmi Aur Insaan,1969
Waris,1969
Aradhana,1969
Ittefaq,1969
Sapnon Ka Saudagar,1969
Raja Saab,1969
Anjan Hai Koyee,1969
Saat Hindustani,1969
Yeh Raat Phir Na Aaygi,1969
Do Raaste,1969
Dil Ne Phir Yaad Kiya,1969
Talash,1969
Prince,1969
The Thief of Baghdad,1969
Jeene Ki Raah,1969
Vishwas,1969
Pyar Ka Mausam,1969
Meri Bhabhi,1969
Kismat,1969
Wapas,1969
Paisa Ya Pyar,1969
Sara Akash,1969
Aya Sawan Jhoom Ke,1969
Pyar Hi Pyar,1969
Mahua,1969
Chirag,1969
Intaquam,1969
Dharti Kahe Pukar Ke,1969
Bhai Bahen,1969
Nateeja,1969
Shart,1969
Jyoti,1969
Shatranj,1969
Sachaai,1969
Ek Shriman Ek Shrimati,1969
Raate Ke Andhere Mein,1969
Insaf Ka Mandir,1969
Chanda Aur Bijli,1969
Anmol Moti,1969
Madhavi,1969
Mera Dost,1969
Thunaivan,1969
Rahgir,1969
Jigri Dost,1969
Ansoo Ban Gaye Phool,1969
Do Bhai,1969
Badi Didi,1969
Bombay by Nite,1969
Sati Sulochana,1969
Toofan,1969
Rakhi Rakhi,1969
Prarthana,1969
Pujarin,1969
Jaal Saaz,1969
Hum Ek Hain,1969
Mera Yaar Mera Dushman,1969
Gustakhi Maaf,1969
Balak,1969
Simla Road,1969
Road to Sikkim,1969
Tamanna,1969
Sansar Leela,1969
Patthar Ke Khwab,1969
Samay Bada Balwan,1969
Surya Devata,1969
Mahabaladu,1969
Apna Khoon Apna Dushman,1969
Munna,1969
Mujhe Seene Se Laga Lo,1969
Suhana Safar,1970
Holi Ayee Re,1970
Rootha Na Karo,1970
Khooni Saya,1970
Bhagwan Parshuram,1970
Chaalbaaz Leader,1970
Murder on Highway,1970
Sasta Khoon Mehnga Pyar,1970
Tarzan 303,1970
Kaun Ho Tum,1970
Hamara Adhikar,1970
Sau Saal Beet Gaye,1970
Veer Amarsingh Rathod,1970
Dagabaaz,1970
Patni,1970
Taqat Aur Talwar,1970
Mangu Dada,1970
Muqabla,1970
Do Thug,1970
Jogi Aur Jawaani,1970
Indus Valley to Indira Gandhi,1970
Haveli,1970
Paisa Aur Zindagi,1970
The Revenger,1970
Pardes,1970
Johnny Uska Naam,1970
Kaurav Pandav,1970
Necklace Thief,1970
Heere Ki Titli,1970
Rahoh Mein Pada Patthar Hoon,1970
Phir Baaje Shehnai,1970
Jeevan Mrityu,1970
Prem Pujari,1970
Hamari Kahani,1970
Dharti,1970
Ilzam,1970
Night in Calcutta,1970
Khilona,1970
The Train,1970
Maa Aur Mamta,1970
Bandhan,1970
Sachaa Jhutha,1970
Kab? Kyoon? Aur Kahan?,1970
Abhinetri,1970
Sawan Bhadon,1970
Heer Raanjha,1970
Begunah,1970
Raton Ka Raja,1970
Tum Haseen Main Jawan,1970
Mahal,1970
Puraskar,1970
Moojrim,1970
My Love,1970
Geet,1970
Safar,1970
Ghar Ghar Ki Kahani,1970
Mere Humsafar,1970
Mastana,1970
Johny Mera Naam,1970
Mera Naam Joker,1970
Aan Milo Sajna,1970
Kati Patang,1970
Saas Bhi Kabhi Bahu Thi,1970
Dastak,1970
Inspector,1970
Humjoli,1970
Pehchan,1970
Pavitra Papi,1970
Sharafat,1970
Pagla Kahin Ka,1970
Yaadgaar,1970
Ganwaar,1970
Chetna,1970
Man Ki Aankhen,1970
Gopi,1970
Himmat,1970
Ehsan,1970
Bachpan,1970
Uski Roti,1970
Umang,1970
Naya Raasta,1970
Devi,1970
Deedar,1970
Samaj Ko Badal Dalo,1970
Ishq Par Zor Nahin,1970
Ek Nannhi Munni Ladki Thi,1970
Maharaja,1970
Bhai Bhai,1970
Darpan,1970
Jawab,1970
Pardesi,1970
Pushpanjali,1970
Priya,1970
Gunahon Ka Raaste,1970
Choron Ka Chor,1970
Insaan Aur Shaitan,1970
Yeh Khoon Rang Layega,1970
Maa Ka Aanchal,1970
Sampoorna Teerth Yatra,1970
Aansoo Aur Muskan,1970
Veer Ghatotkach,1970
Gunah Aur Kanoon,1970
Truck Driver,1970
Qatil,1970
Harishchandra Taramati,1970
Ziarat Gahe Hind,1970
Naag Lok,1970
Abhi Kal Hi Ki Baat Hai,1970
Gunah,1970
Guddi,1971
Haseenon Ka Devata,1971
Gehra Raaz,1971
Aisa Bhi Hota Hain,1971
Brahma Vishnu Mahesh,1971
Pasand Apni Apni,1971
Dharti Ki God Mein,1971
Nanhi Kaliyan,1971
Irada,1971
Shree Krishnarjun Yuddh,1971
Sampoorna Devi Darshan,1971
Kangan,1971
Chandan,1971
Shan E Khuda,1971
Jai Jawan Jai KIsan,1971
Naag Pooja,1971
Sher E Watan,1971
Murder in Circus,1971
Veer Chhatrasal,1971
Maata Vaishno Devi,1971
Bahake Kadam,1971
Revolver Rani,1971
Paisa Bolta Hain,1971
Padosi,1971
Prem Ki Ganga,1971
Aag Aur Daag,1971
Kahin Aar Kahin Paar,1971
Jal Bin Machhli Nritya Bin Bijli,1971
Mehboob Ki Mehndi,1971
Ustad Pedro,1971
Ek Paheli,1971
